code,name,credits,offering_year,offering_semester,category,major_restriction
SOC 410,"Identity: Gender, Race",4,,,Humanities and Social Sciences,
ECON 251,Principles of Economics,4,,,Humanities and Social Sciences,PPE
SECP 498,Senior Capstone,4,,,Pillar,
POL 100,Intro to Politics,4,,,Humanities and Social Sciences,PPE
FYS 101,First Year Seminar I,4,,,Pillar,
FYS 102,First Year Seminar II,4,,,Pillar,
ENG 101,College Writing,4,,,Pillar,
STAT 101,Intro to Statistics,4,,,Mathematics and Science,SDS
ENV 101,Intro to Environmental Studies,4,,,Interdisciplinary,ESS
ART 100,Intro to Arts,4,,,Arts,
